Tiempo,Tesla: (Todo el mundo)
2021-01-03,17
2021-01-03,13
2021-01-03,11
2021-01-03,10
2021-01-03,9
2021-01-03,18
2021-01-04,5
2021-01-04,17
2021-01-04,8
2021-01-04,19
2021-01-04,18
2021-01-04,21
2021-01-04,19
2021-01-04,25
2021-01-04,44
2021-01-04,59
2021-01-04,50
2021-01-04,44
2021-01-04,30
2021-01-04,27
2021-01-04,17
2021-01-04,22
2021-01-04,22
2021-01-04,20
2021-01-04,16
2021-01-04,19
2021-01-04,15
2021-01-04,18
2021-01-04,14
2021-01-04,9
2021-01-05,20
2021-01-05,13
2021-01-05,9
2021-01-05,15
2021-01-05,17
2021-01-05,15
2021-01-05,18
2021-01-05,16
2021-01-05,25
2021-01-05,18
2021-01-05,27
2021-01-05,21
2021-01-05,19
2021-01-05,10
2021-01-05,13
2021-01-05,43
2021-01-05,54
2021-01-05,30
2021-01-05,20
2021-01-05,20
2021-01-05,20
2021-01-05,9
2021-01-05,11
2021-01-05,22
2021-01-06,15
2021-01-06,13
2021-01-06,8
2021-01-06,17
2021-01-06,14
2021-01-06,15
2021-01-06,12
2021-01-06,20
2021-01-06,29
2021-01-06,19
2021-01-06,48
2021-01-06,41
2021-01-06,35
2021-01-06,26
2021-01-06,21
2021-01-06,13
2021-01-06,20
2021-01-06,16
2021-01-06,11
2021-01-06,16
2021-01-06,9
2021-01-06,10
2021-01-06,13
2021-01-06,11
2021-01-07,13
2021-01-07,16
2021-01-07,15
2021-01-07,21
2021-01-07,26
2021-01-07,10
2021-01-07,12
2021-01-07,20
2021-01-07,34
2021-01-07,55
2021-01-07,100
2021-01-07,68
2021-01-07,54
2021-01-07,74
2021-01-07,71
2021-01-07,59
2021-01-07,72
2021-01-07,53
2021-01-07,48
2021-01-07,45
2021-01-07,41
2021-01-07,30
2021-01-07,58
2021-01-07,52
2021-01-08,45
2021-01-08,26
2021-01-08,43
2021-01-08,47
2021-01-08,42
2021-01-08,42
2021-01-08,28
2021-01-08,40
2021-01-08,56
2021-01-08,84
2021-01-08,93
2021-01-08,50
2021-01-08,65
2021-01-08,55
2021-01-08,59
2021-01-08,51
2021-01-08,43
2021-01-08,41
2021-01-08,37
2021-01-08,34
2021-01-08,25
2021-01-08,33
2021-01-08,32
2021-01-08,28
2021-01-09,36
2021-01-09,17
2021-01-09,18
2021-01-09,10
2021-01-09,21
2021-01-09,26
2021-01-09,20
2021-01-09,18
2021-01-09,20
2021-01-09,17
2021-01-09,22
2021-01-09,28
2021-01-09,12
2021-01-09,15
2021-01-09,22
2021-01-09,16
2021-01-09,11
2021-01-09,14
2021-01-09,16
2021-01-09,15
2021-01-09,20
2021-01-09,18
2021-01-09,22
2021-01-09,31
2021-01-10,26
2021-01-10,19
2021-01-10,12
2021-01-10,29
2021-01-10,14
2021-01-10,9
2021-01-10,8
2021-01-10,12
2021-01-10,14
2021-01-10,23
2021-01-10,20
2021-01-10,15
2021-01-10,11
2021-01-10,11
2021-01-10,16
2021-01-10,21
2021-01-10,12
2021-01-10,19
